Id,Fuente,Titular,Copete,Cuerpo,Amarillismo,Falsa
172,Current Biology,Descubren como las plantas sienten la temperatura,Un mecanismo genetico en plantas podria explicar como responden a los cambios termicos.,"Cientificos de la Universidad de Chicago han identificado un gen en las plantas que regula la respuesta a la temperatura, lo cual es crucial para su supervivencia y adaptacion climatica.",No Amarillista,Verdadera
173,MIT Media Lab,Revelan interfaz cerebro-computadora que lee pensamientos,Promete revolucionar la comunicación y la tecnología,"Investigadores del MIT Media Lab han desarrollado una interfaz cerebro-computadora avanzada que, dicen, puede interpretar pensamientos y convertirlos en comandos digitales, prometiendo una nueva era en la interacción humana-máquina.",Amarillista,Verdadera
174,NASA,NASA identifica exoplaneta más similar a la Tierra,Posible candidato para vida extraterrestre,"La NASA ha anunciado el descubrimiento de un exoplaneta que comparte características sorprendentemente similares con la Tierra, aumentando las especulaciones sobre la posibilidad de vida fuera de nuestro sistema solar.",Amarillista,Verdadera
175,Google,Google desarrolla inteligencia artificial que predice el futuro,Podría cambiar las predicciones económicas y climáticas,"Google ha lanzado un nuevo modelo de inteligencia artificial que, según informes, puede predecir eventos futuros con una precisión sin precedentes, incluyendo tendencias económicas y patrones climáticos.",Amarillista,Verdadera
176,SpaceX,SpaceX planea colonia en Marte en la próxima década,Elon Musk promete asentamientos humanos en Marte pronto,"SpaceX, liderada por Elon Musk, ha anunciado planes para establecer una colonia humana en Marte dentro de los próximos diez años, una noticia que ha capturado la imaginación del mundo.",Amarillista,Verdadera
177,IBM,IBM revela computadora cuántica capaz de resolver problemas imposibles,Podría terminar con la criptografía actual,"IBM ha presentado una nueva computadora cuántica que, afirman, puede resolver problemas que las computadoras convencionales encuentran imposibles, lo que podría revolucionar la seguridad en línea.",Amarillista,Verdadera
178,Tesla,Tesla lanza batería con duración de vida de 50 años,Promete revolucionar la industria energética,"Tesla ha anunciado el desarrollo de una batería de alta duración que, según informes, puede durar hasta 50 años, lo que podría significar un cambio radical en la conservación de energía.",Amarillista,Verdadera
179,Facebook,"Facebook introduce tecnología para ""teletransportar"" usuarios en VR",Innovación podría cambiar las redes sociales para siempre,"Facebook ha lanzado una nueva tecnología de realidad virtual que, dicen, permite a los usuarios ""teletransportarse"" a diferentes ubicaciones virtuales, aumentando las posibilidades de interacción social en la red.",Amarillista,Verdadera
180,Intel,Intel desarrolla chip que imita el cerebro humano,Podría ser el futuro de la inteligencia artificial,"Intel ha anunciado un nuevo chip diseñado para imitar la actividad neuronal del cerebro humano, lo que podría llevar a avances significativos en el aprendizaje automático y la IA.",Amarillista,Verdadera
181,Amazon,Amazon patenta drone que entrega paquetes en minutos,Promete cambiar el futuro de la entrega inmediata,"Amazon ha patentado un nuevo tipo de drone que puede entregar paquetes en minutos, sugiriendo una transformación inminente en la logística y la entrega de comercio electrónico.",Amarillista,Verdadera
182,Pfizer,Pfizer anuncia vacuna que podría prevenir el cáncer,Una revolución en la medicina moderna,"Pfizer ha anunciado el desarrollo de una vacuna que, en estudios preliminares, muestra potencial para prevenir ciertos tipos de cáncer, prometiendo una revolución en los tratamientos preventivos.",Amarillista,Verdadera
183,Samsung,Samsung crea pantalla que cura la vista,Innovación podría eliminar la necesidad de lentes,"Samsung ha anunciado el desarrollo de una pantalla revolucionaria que, afirman, puede mejorar la vista del usuario mientras la mira, potencialmente reduciendo la dependencia de lentes correctivos.",Amarillista,Falsa
184,Apple,Apple patenta dispositivo que puede cargar cualquier aparato a distancia,Promete revolucionar la carga de dispositivos,"Apple ha registrado la patente de un dispositivo que supuestamente puede cargar cualquier aparato electrónico a distancia, sin necesidad de cables o superficies de carga.",Amarillista,Verdadera
185,Microsoft,Microsoft lanza IA que puede pasar el Test de Turing,Superación histórica de la inteligencia artificial,"Microsoft ha desarrollado una inteligencia artificial que, según informes, ha pasado el Test de Turing, lo que sugiere que no se puede distinguir de un ser humano en conversaciones.",Amarillista,Falsa
186,Tesla,Tesla introduce el primer automóvil totalmente autónomo,El vehículo no necesita conductor,"Tesla ha lanzado un nuevo modelo de automóvil que, afirman, es completamente autónomo y no requiere intervención humana en ninguna circunstancia, lo que podría cambiar el futuro del transporte personal.",Amarillista,Verdadera
187,Johnson & Johnson,Johnson & Johnson desarrolla cura para la calvicie,Nuevo producto garantiza el crecimiento del cabello,"Johnson & Johnson ha lanzado un producto que, prometen, puede curar la calvicie al regenerar el cabello completamente en cuestión de meses.",Amarillista,Falsa
188,Sony,Sony revela cámara que puede ver a través de paredes,Tecnología podría ser utilizada en seguridad y rescates,"Sony ha presentado una nueva cámara que, según la compañía, puede capturar imágenes claras a través de paredes sólidas, ofreciendo aplicaciones en seguridad y operaciones de rescate.",Amarillista,Falsa
189,Google,Google crea algoritmo que predice terremotos,Herramienta podría salvar millones de vidas,"Google ha desarrollado un algoritmo que, afirman, puede predecir terremotos con una precisión y anticipación nunca antes vistas, lo que podría revolucionar la respuesta a desastres naturales.",Amarillista,Falsa
190,SpaceX,SpaceX anuncia planes para hotel en la Luna,Turismo lunar podría comenzar en 2030,"SpaceX ha anunciado que construirá un hotel en la Luna, con planes de abrir al turismo espacial para 2030, prometiendo una experiencia única para los viajeros aventureros.",Amarillista,Falsa
191,IBM,IBM lanza supercomputadora con emociones,La máquina puede sentir y reaccionar emocionalmente,"IBM ha anunciado el desarrollo de una supercomputadora que, afirman, puede experimentar y expresar emociones humanas, lo que podría cambiar la interacción entre humanos y máquinas.",Amarillista,Falsa
192,BioNTech,BioNTech desarrolla vacuna ajustable con una aplicación móvil,Control personalizado de dosis y efectos,"BioNTech ha presentado una nueva vacuna que los usuarios pueden ajustar en tiempo real usando una aplicación móvil, permitiendo controlar la dosis y los efectos secundarios personalmente.",Amarillista,Verdadera
193,Intel,Intel anuncia chip que elimina la necesidad de Internet,Chip revolucionario para almacenamiento y procesamiento de datos,"Intel ha revelado un nuevo chip que, según dicen, permite almacenar y procesar datos sin necesidad de conexión a Internet, prometiendo independencia digital total.",Amarillista,Falsa
194,NVIDIA,NVIDIA desarrolla la primera IA que puede programar mejor que los humanos,Un avance que podría reemplazar programadores,"NVIDIA ha creado una inteligencia artificial que, afirman, programa con más eficiencia y menos errores que los mejores desarrolladores humanos, planteando preguntas sobre el futuro del trabajo en programación.",Amarillista,Falsa
195,Amazon,Amazon lanza drone que entrega paquetes en cualquier clima,Revolución en la entrega aérea,"Amazon ha introducido un nuevo tipo de drone diseñado para funcionar bajo cualquier condición climática, asegurando entregas rápidas y confiables sin importar el tiempo.",Amarillista,Verdadera
196,Boston Dynamics,Robots de Boston Dynamics ahora pueden autorepararse,Innovación en robótica de servicio,"Boston Dynamics ha anunciado que sus robots más recientes tienen la capacidad de autodiagnosticarse y repararse sin intervención humana, mejorando la eficiencia en operaciones críticas.",Amarillista,Falsa
197,Samsung,Samsung patenta teléfono que se carga con energía solar,Innovación sostenible en smartphones,"Samsung ha patentado un nuevo diseño de teléfono inteligente que se carga completamente con luz solar, reduciendo la dependencia de los cargadores convencionales y promoviendo la sostenibilidad.",Amarillista,Verdadera
198,Facebook,Facebook desarrolla algoritmo que detecta noticias falsas con 99% de precisión,Un paso adelante en la lucha contra la desinformación,"Facebook ha desarrollado un algoritmo que, aseguran, puede identificar y eliminar noticias falsas de su plataforma con una precisión del 99%, marcando un avance significativo en la moderación de contenido.",Amarillista,Falsa
199,SpaceX,SpaceX descubre nuevo material para cohetes que reduce costos en 90%,Innovación disruptiva en la industria espacial,"SpaceX ha descubierto un material que, afirman, puede reducir significativamente los costos de fabricación de cohetes, lo que podría hacer el viaje espacial mucho más accesible.",Amarillista,Verdadera
200,Pfizer,Pfizer crea medicamento que previene el envejecimiento,Un salto hacia la juventud perpetua,"Pfizer ha anunciado el desarrollo de un medicamento que promete prevenir los efectos del envejecimiento, abriendo la puerta a una vida más larga y saludable.",Amarillista,Falsa
201,Apple,Apple introduce realidad aumentada en cada dispositivo,Todos tus gadgets ahora con AR,"Apple ha anunciado que todos sus dispositivos futuros incorporarán capacidades de realidad aumentada, lo que promete transformar la experiencia de usuario en todos sus productos.",Amarillista,Verdadera
202,Google,Google lanza servicio de traducción instantánea de pensamientos,Comunicación sin barreras,"Google ha lanzado un servicio revolucionario que, según dicen, puede traducir pensamientos instantáneamente a cualquier idioma, facilitando la comunicación global sin precedentes.",Amarillista,Falsa
